CD8_T,CD4_T,Tregs,Macrophages,PMN_neutrophils,Monocytes,DCs,B_cells,NKs,pDC,M1,M2
Cd3e,Cd3e,Cd3e,Itgam,Ly6g,Itgam,Cst3,Cd79a,Vasp,Ccr9,Cd38,Vasp
Cd8a,Cd4,Cd4,Vapb,Vamp5,Ly6c1,Atox1,Fcmr,Ncr1,Siglech,Vax2,Mrc1
Cd3d,Vash2,Foxp3,Adgre1,Vamp8,Vapb,Nccrp1,,Ifng,Klk1b5,Nos2,Cx3cr1
Cd3g,Cd3d,Cd3d,Cd68,S100a9,Vcan,,,Klrb1c,Klk1,Vamp3,Cd163
Vamp4,Cd3g,Vav2,Siglec1,S100a8,Fn1,,,,D13Ertd608e,Cd40,
Vash2,Vav2,Il2ra,Csf1r,Il1b,Ccr2,,,,Dntt,Cd86,
Gzmk,Myb,,Apoe,G0s2,Csf1r,,,,Cox6a2,,
,,,Mafb,Csf3r,Mafb,,,,Gm3512,,
,,,Cx3xr1,,Nr4a1,,,,,,
,,,Vav3,,Lgals3,,,,,,
,,,F13a1,,,,,,,,
,,,Lgals3,,,,,,,,
,,,Cxcl9,,,,,,,,
,,,Cxcl10,,,,,,,,
,,,Vamp3,,,,,,,,
,,,Arg1,,,,,,,,
,,,Mmp13,,,,,,,,
,,,Mmp12,,,,,,,,